Location,Estimate (%),90% MOE,Base Population,Sample Size
United States,74.6, 0.09,175047400.0,1664856.0
Alabama,70.7, 0.65,2535100.0,23585.0
Alaska,77.6, 1.46,428100.0,3630.0
Arizona,71.3, 0.55,3531400.0,33592.0
Arkansas,73.0, 0.83,1497700.0,14122.0
California,71.3, 0.22,22112800.0,207316.0
Colorado,77.7, 0.55,3034000.0,29114.0
Connecticut,76.7, 0.68,2061200.0,19978.0
Delaware,73.8, 1.41,506900.0,4569.0
District of Columbia,73.4, 1.57,416700.0,4114.0
Florida,72.4, 0.32,10509500.0,97771.0
Georgia,72.0, 0.44,5525500.0,50891.0
Hawaii,77.6, 1.06,804600.0,7939.0
Idaho,75.2, 1.08,844400.0,7834.0
Illinois,75.2, 0.37,7306800.0,70061.0
Indiana,75.9, 0.52,3520400.0,34340.0
Iowa,81.5, 0.59,1680400.0,16567.0
Kansas,79.3, 0.74,1567800.0,15006.0
Kentucky,73.6, 0.67,2284000.0,22450.0
Louisiana,72.7, 0.65,2474000.0,22513.0
Maine,79.3, 1.03,707600.0,6608.0
Maryland,78.8, 0.51,3428600.0,32956.0
Massachusetts,78.0, 0.48,3884100.0,38733.0
Michigan,73.3, 0.41,5329000.0,51399.0
Minnesota,82.3, 0.43,3066900.0,29576.0
Mississippi,69.9, 0.85,1517600.0,14244.0
Missouri,77.3, 0.53,3225700.0,31230.0
Montana,75.9, 1.13,548700.0,5250.0
Nebraska,82.8, 0.73,1033800.0,9880.0
Nevada,73.3, 0.82,1530900.0,14174.0
New Hampshire,80.5, 1.04,757400.0,7442.0
New Jersey,74.9, 0.44,5095800.0,49250.0
New Mexico,69.3, 1.01,1089300.0,9818.0
New York,73.4, 0.30,11384000.0,108888.0
North Carolina,73.9, 0.43,5383600.0,51099.0
North Dakota,83.5, 1.12,421500.0,3979.0
Ohio,76.1, 0.39,6241500.0,61783.0
Oklahoma,75.7, 0.60,2000900.0,18168.0
Oregon,73.9, 0.69,2132000.0,20557.0
Pennsylvania,75.5, 0.37,7007800.0,68416.0
Rhode Island,77.0, 1.24,605500.0,6017.0
South Carolina,72.8, 0.64,2563700.0,24095.0
South Dakota,83.0, 1.10,449800.0,4359.0
Tennessee,74.3, 0.54,3445300.0,33203.0
Texas,74.8, 0.26,14550900.0,133399.0
Utah,76.3, 0.78,1557600.0,14827.0
Vermont,78.9, 1.24,352400.0,3569.0
Virginia,77.2, 0.44,4748500.0,46177.0
Washington,75.2, 0.50,3915900.0,37169.0
West Virginia,71.5, 1.00,924500.0,8788.0
Wisconsin,80.0, 0.44,3183600.0,31351.0
Wyoming,79.7, 1.39,321700.0,3060.0
Puerto Rico,52.8, 0.79,1798100.0,15355.0
